time:20150130, dvT0:1.13
time:20160129, dvT0:0.68
SZ300495: avgDV:1.07
time:20160129, dvT0:1.07
SH600391: avgDV:1.07
time:20120131, dvT0:1.02
time:20130131, dvT0:1.36
time:20140130, dvT0:1.10
time:20150130, dvT0:1.05
time:20160129, dvT0:0.80
SZ002209: avgDV:1.07
time:20120131, dvT0:0.96
time:20130131, dvT0:1.06
time:20140130, dvT0:1.12
time:20150130, dvT0:1.12
SZ002434: avgDV:1.07
time:20120131, dvT0:0.94
time:20130131, dvT0:1.25
time:20140130, dvT0:0.96
time:20150130, dvT0:1.12
SZ002252: avgDV:1.07
time:20120131, dvT0:0.99
time:20130131, dvT0:1.30
time:20140130, dvT0:1.03
time:20150130, dvT0:1.06
time:20160129, dvT0:0.95
SZ002286: avgDV:1.07
time:20120131, dvT0:1.00
time:20130131, dvT0:1.18
time:20140130, dvT0:1.02
time:20150130, dvT0:1.07
SH600373: avgDV:1.07
time:20120131, dvT0:1.00
time:20130131, dvT0:1.11
time:20140130, dvT0:1.26
time:20150130, dvT0:1.10
time:20160129, dvT0:0.85
SH600271: avgDV:1.07
time:20120131, dvT0:0.96
time:20130131, dvT0:1.05
time:20140130, dvT0:1.02
time:20150130, dvT0:1.22
SH600677: avgDV:1.07
time:20120131, dvT0:1.13
time:20130131, dvT0:1.20
time:20140130, dvT0:1.11
time:20160129, dvT0:0.82
SZ300147: avgDV:1.07
time:20120131, dvT0:0.98
time:20130131, dvT0:1.15
time:20140130, dvT0:1.42
time:20150130, dvT0:1.18
time:20160129, dvT0:0.60
SH600690: avgDV:1.06
time:20120131, dvT0:1.04
time:20130131, dvT0:1.05
time:20140130, dvT0:1.09
time:20150130, dvT0:1.08
SH600237: avgDV:1.06
time:20120131, dvT0:0.96
time:20130131, dvT0:1.02
time:20140130, dvT0:1.12
time:20150130, dvT0:1.05
time:20160129, dvT0:1.18
SZ300349: avgDV:1.06
time:20130131, dvT0:0.96
time:20140130, dvT0:1.11
time:20150130, dvT0:1.12
SZ002040: avgDV:1.06
time:20120131, dvT0:1.02
time:20130131, dvT0:1.03
time:20140130, dvT0:1.01
time:20150130, dvT0:1.20
SZ000023: avgDV:1.06
time:20120131, dvT0:1.01
time:20130131, dvT0:1.02
time:20140130, dvT0:1.06
time:20150130, dvT0:1.16
SZ002657: avgDV:1.06
time:20130131, dvT0:0.91
time:20140130, dvT0:1.23
time:20150130, dvT0:1.48
time:20160129, dvT0:0.63
SZ002027: avgDV:1.06
time:20120131, dvT0:0.96
time:20130131, dvT0:1.01
time:20140130, dvT0:1.55
time:20150130, dvT0:1.11
time:20160129, dvT0:0.69
SZ002400: avgDV:1.06
time:20120131, dvT0:0.83
time:20130131, dvT0:1.32
time:20140130, dvT0:1.24
time:20150130, dvT0:1.21
time:20160129, dvT0:0.71
SH600817: avgDV:1.06
time:20140130, dvT0:1.09
time:20150121, dvT0:1.03
SZ002285: avgDV:1.06
time:20120131, dvT0:0.89
time:20130131, dvT0:1.13
time:20140130, dvT0:1.28
time:20150130, dvT0:1.40
time:20160129, dvT0:0.62
SZ300273: avgDV:1.06
time:20120131, dvT0:0.81
time:20130131, dvT0:1.53
time:20140130, dvT0:1.18
time:20150130, dvT0:1.14
time:20160129, dvT0:0.65
SH600076: avgDV:1.06
time:20120131, dvT0:1.06
time:20130131, dvT0:1.25
time:20140130, dvT0:0.98
time:20160129, dvT0:0.96
SH600372: avgDV:1.06
time:20120131, dvT0:1.01
time:20130131, dvT0:1.46
time:20140130, dvT0:1.09
time:20150130, dvT0:1.00
time:20160129, dvT0:0.74
SZ002071: avgDV:1.06
