time:20150130, dvT0:1.13
SH600633: avgDV:1.04, LastDV:2.05
time:20120131, dvT0:0.98
time:20130131, dvT0:1.15
time:20140130, dvT0:1.38
time:20150130, dvT0:1.07
time:20160129, dvT0:0.63
SZ002006: avgDV:1.04, LastDV:0.79
time:20120131, dvT0:1.08
time:20130131, dvT0:1.10
time:20140130, dvT0:0.95
SZ002610: avgDV:1.04, LastDV:2.44
time:20120131, dvT0:0.96
time:20130131, dvT0:1.05
time:20140130, dvT0:1.31
time:20150130, dvT0:1.11
time:20160129, dvT0:0.77
SZ000922: avgDV:1.04, LastDV:1.23
time:20120131, dvT0:1.23
time:20130131, dvT0:1.06
time:20140130, dvT0:1.09
time:20150130, dvT0:1.18
time:20160129, dvT0:0.64
SZ002470: avgDV:1.04, LastDV:1.97
time:20120131, dvT0:1.08
time:20130131, dvT0:1.14
time:20140130, dvT0:1.02
time:20150130, dvT0:1.23
time:20160129, dvT0:0.73
SZ300132: avgDV:1.04, LastDV:2.41
time:20120131, dvT0:0.89
time:20130131, dvT0:1.07
time:20140130, dvT0:1.07
time:20150130, dvT0:1.14
SZ002007: avgDV:1.04, LastDV:2.43
time:20120131, dvT0:0.92
time:20130131, dvT0:1.15
time:20140130, dvT0:1.05
time:20150130, dvT0:1.09
time:20160129, dvT0:0.99
SH600630: avgDV:1.04, LastDV:2.69
time:20120131, dvT0:1.06
time:20130131, dvT0:1.12
time:20140130, dvT0:1.17
time:20150130, dvT0:1.22
time:20160129, dvT0:0.63
SZ002432: avgDV:1.04, LastDV:2.06
time:20120131, dvT0:1.02
time:20130131, dvT0:1.04
time:20140130, dvT0:1.29
time:20150130, dvT0:1.17
time:20160129, dvT0:0.69
SH600551: avgDV:1.04, LastDV:1.73
time:20120131, dvT0:0.94
time:20130131, dvT0:1.03
time:20140130, dvT0:1.44
time:20150130, dvT0:1.07
time:20160129, dvT0:0.73
SZ002206: avgDV:1.04, LastDV:1.95
time:20120131, dvT0:0.91
time:20130131, dvT0:1.16
time:20140130, dvT0:1.17
time:20150130, dvT0:1.20
time:20160129, dvT0:0.75
SZ002355: avgDV:1.04, LastDV:2.87
time:20120131, dvT0:1.01
time:20130131, dvT0:1.15
time:20140130, dvT0:1.01
time:20150130, dvT0:1.03
time:20160129, dvT0:0.99
SZ002362: avgDV:1.04, LastDV:1.62
time:20120131, dvT0:1.03
time:20130131, dvT0:1.21
time:20140130, dvT0:1.18
time:20150130, dvT0:1.11
time:20160129, dvT0:0.66
SZ000021: avgDV:1.04, LastDV:1.79
time:20120131, dvT0:1.05
time:20130131, dvT0:0.99
time:20140130, dvT0:1.27
time:20150130, dvT0:1.22
time:20160129, dvT0:0.66
SZ002156: avgDV:1.04, LastDV:2.59
time:20120131, dvT0:1.14
time:20130131, dvT0:1.04
time:20140130, dvT0:1.12
time:20150130, dvT0:1.33
time:20160129, dvT0:0.57
SH600037: avgDV:1.04, LastDV:1.89
time:20120131, dvT0:1.03
time:20130131, dvT0:1.03
time:20140130, dvT0:1.14
time:20150127, dvT0:1.27
time:20160129, dvT0:0.72
SZ300084: avgDV:1.04, LastDV:2.80
time:20120131, dvT0:1.19
time:20130131, dvT0:1.03
time:20140130, dvT0:1.35
time:20150130, dvT0:0.94
time:20160129, dvT0:0.67
SZ002648: avgDV:1.04, LastDV:1.08
time:20120131, dvT0:1.11
time:20130131, dvT0:1.16
time:20140130, dvT0:1.17
time:20150130, dvT0:1.07
time:20160129, dvT0:0.68
SZ000534: avgDV:1.04, LastDV:2.86
time:20120131, dvT0:1.05
time:20130131, dvT0:1.08
time:20140130, dvT0:0.97
time:20150130, dvT0:1.06
SZ000096: avgDV:1.04, LastDV:2.97
time:20120131, dvT0:1.06
time:20130131, dvT0:1.35
time:20140130, dvT0:1.04
time:20150130, dvT0:0.98
time:20160129, dvT0:0.76
SZ300002: avgDV:1.04, LastDV:2.34
time:20120131, dvT0:1.02
time:20130131, dvT0:1.12
time:20140130, dvT0:1.15
time:20150130, dvT0:1.24
time:20160129, dvT0:0.66
SH600710: avgDV:1.04, LastDV:1.51
time:20120131, dvT0:1.04
time:20130131, dvT0:1.04
time:20140130, dvT0:0.95
time:20150130, dvT0:0.87
time:20160129, dvT0:1.28
SH600835: avgDV:1.04, LastDV:2.51
time:20120131, dvT0:1.08
time:20130131, dvT0:1.04
time:20140130, dvT0:1.21
time:20150130, dvT0:1.17
time:20160129, dvT0:0.68
SH600401: avgDV:1.04, LastDV:1.04
time:20130131, dvT0:1.12
time:20140130, dvT0:1.03
time:20150130, dvT0:1.20
time:20160129, dvT0:0.79
SZ000100: avgDV:1.04, LastDV:2.02
time:20120131, dvT0:1.12
time:20130131, dvT0:1.10
time:20140130, dvT0:1.08
time:20150130, dvT0:1.02
time:20160129, dvT0:0.85
SH600409: avgDV:1.04, LastDV:1.71
time:20120131, dvT0:1.05
time:20130131, dvT0:1.16
time:20140130, dvT0:0.94
time:20150130, dvT0:1.31
time:20160129, dvT0:0.72
SH600250: avgDV:1.04, LastDV:2.68
time:20120131, dvT0:1.06
time:20130131, dvT0:1.28
time:20140130, dvT0:1.01
time:20160129, dvT0:0.79
SH600198: avgDV:1.04, LastDV:1.88
time:20120111, dvT0:1.00
time:20130131, dvT0:1.23
time:20140130, dvT0:1.27
time:20150130, dvT0:1.05
time:20160129, dvT0:0.63
SZ002207: avgDV:1.03, LastDV:2.53
time:20120131, dvT0:1.13
time:20130131, dvT0:1.09
time:20140130, dvT0:1.18
time:20150130, dvT0:0.74
SH600390: avgDV:1.03, LastDV:2.04
time:20120131, dvT0:0.99
time:20130131, dvT0:1.18
time:20140130, dvT0:1.25
time:20150130, dvT0:1.03
time:20160129, dvT0:0.72
SZ000923: avgDV:1.03, LastDV:1.99
time:20120131, dvT0:1.13
time:20130131, dvT0:1.05
time:20140130, dvT0:1.04
time:20150130, dvT0:1.17
time:20160129, dvT0:0.78
SZ000603: avgDV:1.03, LastDV:0.87
time:20120131, dvT0:1.26
time:20130131, dvT0:1.12
time:20140130, dvT0:0.92
time:20150130, dvT0:1.11
time:20160129, dvT0:0.77
SZ000050: avgDV:1.03, LastDV:2.72
time:20120131, dvT0:0.92
time:20130131, dvT0:1.16
time:20140130, dvT0:1.22
time:20150130, dvT0:1.16
time:20160129, dvT0:0.71
SZ002082: avgDV:1.03, LastDV:2.07
time:20120131, dvT0:1.06
time:20130131, dvT0:1.05
time:20140130, dvT0:0.99
time:20150130, dvT0:1.04
SZ000908: avgDV:1.03, LastDV:1.77
time:20120131, dvT0:1.22
time:20130131, dvT0:0.98
time:20140130, dvT0:1.14
time:20150130, dvT0:1.10
time:20160129, dvT0:0.74
SZ300255: avgDV:1.03, LastDV:2.79
time:20120131, dvT0:0.95
time:20130131, dvT0:1.23
time:20140130, dvT0:1.08
time:20150130, dvT0:1.01
time:20160129, dvT0:0.89
SZ002189: avgDV:1.03, LastDV:1.97
time:20120131, dvT0:1.06
time:20130131, dvT0:1.16
time:20140130, dvT0:1.01
time:20150130, dvT0:1.25
time:20160129, dvT0:0.70
SH600712: avgDV:1.03, LastDV:1.92
time:20120131, dvT0:1.06
time:20130131, dvT0:1.09
time:20140130, dvT0:0.93
time:20150130, dvT0:1.06
time:20160129, dvT0:1.03
SZ000973: avgDV:1.03, LastDV:1.44
time:20120131, dvT0:1.07
time:20130131, dvT0:1.04
time:20140130, dvT0:0.99
time:20150130, dvT0:1.03
SH600462: avgDV:1.03, LastDV:1.96
time:20120131, dvT0:1.25
time:20130131, dvT0:1.21
time:20140130, dvT0:0.94
time:20150130, dvT0:1.03
time:20160129, dvT0:0.73
SZ002597: avgDV:1.03, LastDV:2.27
time:20120131, dvT0:1.00
time:20130131, dvT0:1.01
time:20140130, dvT0:0.95
time:20150130, dvT0:1.19
time:20160129, dvT0:1.01
SZ000761: avgDV:1.03, LastDV:1.19
time:20120131, dvT0:0.99
time:20130131, dvT0:1.12
time:20140130, dvT0:0.91
time:20150130, dvT0:1.03
time:20160129, dvT0:1.10
SZ002013: avgDV:1.03, LastDV:2.36
time:20120131, dvT0:0.94
time:20130131, dvT0:1.33
time:20140130, dvT0:1.08
time:20150130, dvT0:1.02
time:20160129, dvT0:0.79
SZ002126: avgDV:1.03, LastDV:2.34
time:20120131, dvT0:0.89
time:20130131, dvT0:1.25
time:20140130, dvT0:1.22
time:20150130, dvT0:1.12
time:20160129, dvT0:0.68
SZ002405: avgDV:1.03, LastDV:2.03
time:20120131, dvT0:0.94
time:20130131, dvT0:1.06
time:20140130, dvT0:1.25
time:20150130, dvT0:1.19
time:20160129, dvT0:0.72
